English,Chinese
gardens,花园
brady,布雷迪
mock,嘲笑
clap,拍
med,医学
franco,佛朗哥
sadie,萨迪
barbie,芭比
dancers,舞者
humiliating,羞辱性的
sensei,老师
battlefield,战场
pissing,撒尿
fuse,保险丝
portal,门户网站
thorough,彻底
spock,斯波克
marion,马里恩
finals,决赛
wired,有线
acceptable,可以接受
vomit,呕吐
engineers,工程师
insulting,侮辱
managing,管理
striking,引人注目
neighbourhood,邻里
peanuts,花生
lone,孤独的
mining,矿业
committing,承诺
bomber,轰炸机
roberto,罗伯托
mentor,导师
noel,诺埃尔
starring,主演
vibe,氛围
separation,分离
pickup,捡起
hairs,头发
grenade,手榴弹
kilos,公斤
mustard,芥末
clive,克莱夫
magistrate,地方法官
figuring,计算
etc,ETC
agony,痛苦
graveyard,墓地
poirot,波洛
quantum,量子
julio,胡里奥
lent,四旬斋
hunted,被猎杀
isabelle,伊莎贝尔
maestro,大师
sage,智者
screamed,尖叫着
boost,促进
relieve,缓解
barb,倒钩
poppy,罂粟
clarke,克拉克
scully,斯卡利
flows,流量
decorated,装饰的
kitt,基特
missus,夫人
ping,平
iet,伊特
donny,唐尼
caves,洞穴
worldwide,全世界
judged,判断的
hustle,喧嚣
scooter,小型摩托车
yankee,洋基队
medic,军医
callie,卡莉
thrust,推力
civilized,文明的
turk,土耳其人
narcotics,毒品
foreigner,外国人
consultant,顾问
gibson,吉布森
blog,博客
glance,一眼
heritage,遗产
complained,抱怨
pumping,泵送
discretion,审慎
disappointing,令人失望的
wanda,万达
darryl,达里尔
lighten,减轻
grabbing,抢夺
academic,学术的
sa,萨
permitted,允许的
repairs,修理
essay,散文
guarding,守护
altitude,高度
grind,研磨
sentences,句子
zhang,张
leah,利亚
considerable,大量
argued,争论
paladin,圣骑士
tellin,泰兰
shipped,已发货
pennsylvania,宾夕法尼亚州
gigantic,巨大
mosque,清真寺
eldest,最年长的
factories,工厂
repeatedly,反复
mixing,混合
moss,苔藓
purchased,已购买
tripped,绊倒
demanded,要求的
cripple,削弱
stripped,剥离的
yuck,恶心
extract,提炼
idle,闲置的
ghetto,贫民窟
newest,最新
douche,冲洗
frankenstein,弗兰肯斯坦
fades,淡出
cuz,因为
renee,蕾妮
killings,杀戮
isolation,隔离
appearances,外表
snitch,告密者
simmons,西蒙斯
conquered,被征服
tailor,裁缝
homemade,自制
kite,风筝
weeping,哭泣
pins,针脚
targeted,有针对性的
paulie,保利
verge,边缘
dre,德雷
cass,卡斯
arise,出现
know.,知道。
garrison,驻军
celia,西莉亚
wrists,手腕
postpone,推迟
beau,花花公子
horace,贺拉斯
gladys,格拉迪斯
starfleet,星际舰队
forming,成型
virgil,维吉尔
disney,迪士尼
rewarded,得到奖励
preserved,保留
burglary,盗窃
frequently,频繁地
agencies,机构
buffet,自助餐
screws,螺丝
editing,编辑
drip,滴
membership,会员资格
weasel,黄鼠狼
monument,纪念碑
hazel,榛
incompetent,无能的
ex-boyfriend,前男友
voodoo,巫毒教
trim,修剪
intuition,直觉
manly,男子气概
klink,克林克
swat,扑打
references,参考
demo,演示
fingernails,指甲
liza,丽莎
spinal,脊
cheeky,厚脸皮
criticism,批评
occurs,发生
revelation,启示
alternate,备用
cologne,科隆
shades,色调
woe,祸患
tonic,补品
kathleen,凯瑟琳
initials,缩写
lara,拉拉
pleasures,乐趣
inclined,倾斜的
mourn,哀悼
penthouse,顶层公寓
gospel,福音
presumably,想必
believer,信徒
notch,缺口
melinda,梅琳达
harness,马具
governments,政府
conventional,传统的
shaggy,毛茸茸
panther,豹
omega,欧米茄
viking,维京人
pronounced,明显的
belonging,归属感
cynical,愤世嫉俗的
ankles,脚踝
colleen,科琳
raylan,雷兰
bronx,布朗克斯
papi,帕皮
cod,鳕鱼
seung,胜
zealand,新西兰
placing,放置
abdomen,腹部
soak,浸泡
sustain,维持
darius,大流士
sank,沉没
suicidal,有自杀倾向的
pry,撬
voicemail,语音信箱
clarify,阐明
attach,附
sliding,滑动
awareness,意识
competitors,竞争对手
fiery,火热
hmmm,嗯嗯
hara,原
funk,放克
ice-cream,冰淇淋
tao,道
bladder,膀胱
roommates,室友
sergio,塞尔吉奥
grinding,磨削
napkin,餐巾
suction,吸
lea,莱亚
youngsters,年轻人
cesar,塞萨尔
bulk,大部分
prosecute,起诉
proceedings,诉讼程序
kendall,肯德尔
chug,突突
withdrawn,取消
bubba,布巴
deliberate,商榷
colder,更冷
aiden,艾登
exaggerating,夸大
polls,民意调查
gabby,饶舌的
emerald,翠
flaming,炽盛
uneasy,不安
spears,矛
credits,学分
hurrah,欢呼
bungalow,平房
jody,乔迪
christie,克里斯蒂
levi,列维
inspect,检查
jinx,厄运
andré,安德烈
tempt,诱惑
euro,欧元
compensate,补偿
laps,圈数
applications,应用
parenting,养育子女
hilary,希拉里
logo,标识
cecilia,张柏芝
bi,双
rewrite,改写
cadillac,卡迪拉克
monitors,监视器
betraying,背叛
renting,出租
onstage,在舞台上
germs,病菌
my-,我的-
liberated,解放了
faded,褪色了
surroundings,周围环境
rivals,竞争对手
elisabeth,伊丽莎白
fortunes,财富
metropolis,都会
first-class,头等舱
stashed,藏起来的
hai,哈伊
salsa,萨尔萨舞
heater,加热器
smug,踌躇满志
descended,下降
margo,玛戈
redhead,红发女郎
aubrey,奥布里
celestial,天上的
toothpaste,牙膏
nipple,乳头
becker,贝克尔
sloane,斯隆
bentley,宾利
lurking,潜伏
barren,荒芜
defender,后卫
blush,脸红
amateurs,业余爱好者
motorbike,摩托车
snoop,窥探
nicola,尼古拉
forgave,原谅
graffiti,涂鸦
bounds,边界
rand,兰特
permits,许可
criticize,批评
continental,欧陆式
dixie,迪克西
protocols,协议
memorize,记住
welsh,威尔士语
lifts,电梯
mosquitoes,蚊子
unexpectedly,不料
amuse,逗乐
howie,豪伊
ziggy,之字形
gallant,英勇
ames,艾姆斯
morocco,摩洛哥
navigation,导航
margin,利润
afar,远方
hilton,希尔顿
whispered,低声说
abandoning,放弃
strokes,笔画
aria,咏叹调
corinne,科琳娜
batting,击球
chanel,香奈儿
refill,补充装
singles,单打
saucer,碟子
nada,纳达
uld,乌尔德
shillings,先令
viper,毒蛇
wonderfully,奇妙地
posting,发帖
no-,不-
abbot,住持
wildly,疯狂地
embedded,嵌入式
skates,冰鞋
earthquakes,地震
reaper,收割者
shuffle,随机播放
modesty,谦虚
crowley,克劳利
eyesight,眼力
xi,希
bulletproof,防弹
module,模块
suzy,苏西
stuffy,闷
giggle,傻笑
persian,波斯语
tesla,特斯拉
thorne,索恩
jiang,江
malley,马利
spouse,配偶
stale,陈旧
rating,评分
backseat,后座
demonic,恶魔般的
demise,灭亡
picard,皮卡德
microscope,显微镜
hardship,困难
fashionable,时髦
quits,退出
lineup,排队
errors,错误
weights,重量
icon,图标
sahib,先生
rung,梯级
stealth,隐身
poll,轮询
sneezes,打喷嚏
cockpit,座舱
pleading,恳求
magda,玛格达
prairie,草原
refrain,避免
ch,ch
intro,介绍
booming,蓬勃发展
aunts,阿姨们
unleash,发挥
ip,ip
casing,套管
chaplain,牧师
farce,闹剧
whipping,鞭打
updated,更新
my,我的
tribunal,法庭
treachery,背信弃义
vikings,维京人
lavender,薰衣草
lasers,激光
discussions,讨论
disobey,违
sinful,有罪的
i`m,我是
designing,设计
suspense,悬念
guiding,指导
binding,捆绑
nationals,国民
palestine,巴勒斯坦
pagan,异教徒
bygones,过去的事
adjusting,调整
petersburg,圣彼得堡
audiences,观众
colossal,庞大
thrash,鞭打
pilgrim,朝圣
squirrels,松鼠
xander,桑德尔
firemen,消防员
logged,已记录
cabaret,歌舞表演
simms,西姆斯
napkins,餐巾纸
blinking,眨眼
duo,二人组
elevators,电梯
ronny,罗尼
greer,格里尔
paralysis,麻痹
bowman,鲍曼
unusually,不寻常地
tamil,泰米尔语
cubes,立方体
ursula,乌苏拉
eiffel,埃菲尔铁塔
dyke,堤防
jacked,被顶住
monarch,君主
narrative,叙述
catcher,捕手
dignified,凝重
beginnings,开始
blacked,涂黑的
exhale,呼气
rinse,冲洗
stormy,暴风雨的
hussein,侯赛因
heinrich,海因里希
seeker,探索者
overthrow,推翻
raids,袭击
obsessive,痴迷的
humbly,谦虚地
crumble,崩溃
invading,入侵
zachary,扎卡里
respiratory,呼吸系统
elope,私奔
bologna,博洛尼亚
celeste,塞莱斯特
16-year-old,16岁
threads,线程
wronged,受委屈的
collectors,收藏家
marius,马吕斯
patio,露台
payday,发薪日
seaweed,海藻
gianni,贾尼
close-up,特写
mayhem,混乱
holed,有洞的
impulses,冲动
pollen,花粉
virtues,美德
ribbons,丝带
kabir,卡比尔
edgy,急躁的
barbarian,野蛮人
baptism,洗礼
afterward,之后
mound,冢
12-year-old,12岁
fearing,害怕
tolerated,容忍的
proportions,比例
pakistani,巴基斯坦
maxim,格言
empathy,共情
suburban,郊区的
catalog,目录
municipal,市级
adviser,顾问
feminist,女权主义者
proposals,提案
kisser,亲吻者
preference,偏爱
bookie,赌徒
painters,画家
knit,针织
rotate,旋转
io,io
sleepless,失眠的
sighting,目击
bartlett,巴特利特
mercenaries,雇佣兵
poses,姿势
replica,复制品
commodore,准将
shithole,屎洞
trolley,手推车
timid,胆小
masturbate,手淫
mojo,魔力
liters,升
tex,特克斯
phrases,短语
algeria,阿尔及利亚
imposed,强加的
implied,默示
idaho,爱达荷州
supervise,监督
residential,住宅
envelopes,信封
escorted,护送
accelerator,加速器
kale,羽衣甘蓝
self-destruct,自我毁灭
renewed,更新的
johann,约翰
grants,赠款
flawed,有缺陷的
maggots,蛆虫
prosecuted,被起诉
coulson,科尔森
implies,暗示
criteria,标准
freighter,货轮
bashed,殴打
solemnly,庄严地
invaluable,无价
orchestral,管弦乐
makeover,改头换面
nathaniel,纳撒尼尔
succession,演替
weirder,更奇怪的
hubble,哈勃
domination,统治
performers,表演者
and--and,和——和
plots,地块
slab,平板
philosophical,哲学的
riddles,谜语
specialized,专门
viewed,已查看
photographic,摄影的
recalled,回忆起
chunks,块
sheik,酋长
hattie,哈蒂
27th,27日
dvds,DVD
horrified,吓坏了
neighborhoods,街区
talisman,护符
takeover,接管
crossword,填字游戏
sciences,科学
lucie,露西
ballerina,芭蕾舞演员
raiders,袭击者
compose,撰写
exorcism,驱魔
optimus,擎天柱
swapped,交换了
terra,泰拉
turbulence,湍流
jericho,杰里科
khun,坤
bends,弯曲
graft,接枝
vendetta,仇杀
frightens,吓到
firefighter,消防队员
earnest,认真
wook,伍克
samir,萨米尔
chino,奇诺
pharmacist,药剂师
calculating,计算
assisting,协助
airports,机场
drool,流口水
dover,多佛
sentencing,量刑
burr,毛刺
crumbling,摇摇欲坠
atlas,阿特拉斯
dada,达达
ballad,民谣
cheerleading,啦啦队
wrongs,错误
aviation,航空
wigs,假发
soho,苏豪区
stewardess,空中小姐
energies,能量
ranking,排行
compromising,妥协
nighttime,夜间
namely,即
kelvin,开尔文
ridicule,嘲笑
jingles,顺口溜
trademark,商标
epi,外延层
flattery,奉承
schizophrenic,精神分裂症患者
dreary,凄凉
presses,压力机
plucked,拨弦
lagoon,泻湖
merciless,无情
anarchist,无政府主义者
clipped,被剪掉的
masha,玛莎
hurtful,伤人的
pegasus,飞马座
co-workers,合作伙伴
thorpe,索普
interstate,州际公路
slipper,拖鞋
señora,夫人
narrowed,缩小
dipped,浸入
lui,吕
rolf,罗尔夫
genevieve,吉纳维夫
constructive,建设性的
inexperienced,缺乏经验的
mast,桅杆
illustrious,杰出
socket,插座
twitch,抽搐
doreen,多琳
theaters,剧院
highlands,高地
schnapps,杜松子酒
renegade,叛徒
howe,豪
reinforced,强化的
bordeaux,波尔多
migration,移民
ah-ha,啊哈
tickling,挠痒痒的
hardened,硬化的
patched,打补丁的
delgado,德尔加多
hearings,听证会
sweeps,扫荡
claps,拍手
taboo,忌讳
weaponry,武器
rica,里卡
armory,军械库
patriotism,爱国主义
groin,腹股沟
tink,叮叮当当
wannabe,想要成为的人
uninvited,不请自来的
fscx100,FSCX100
quickest,最快的
reckoned,算了
israelis,以色列人
annika,安妮卡
exemplary,模范的
perfected,完善的
valeria,瓦莱里娅
okinawa,冲绳
dumber,笨蛋
tvs,电视
ado,废话
strife,冲突
xev,西夫
historically,历史地
cosmetic,化妆品
grooming,修饰
dalek,达莱克
nostalgic,怀旧的
bagels,贝果
demolished,被拆毁
rushes,灯心草
paired,配对的
scenarios,场景
nia,尼亚
deodorant,除臭剂
taelon,泰隆
filet,菲力牛排
enigma,谜
memento,纪念
sweatshirt,运动衫
shackles,镣铐
portions,部分
embark,登船
soaring,翱翔
tyrone,蒂龙
didn`t,没有
laddie,拉迪
seagull,海鸥
scottie,斯科蒂
hopelessly,无望地
legions,军团
hasan,哈桑
hairstyle,发型
spotless,一尘不染
aesthetic,审美的
directory,目录
lumpy,块状的
grammy,格莱美
yumi,由美
now,现在
errol,埃罗尔
travers,穿越者
taxpayers,纳税人
unconditional,无条件的
pimps,皮条客
gs,GS
dancin,丹辛
fester,溃烂
imposter,冒名顶替者
infernal,地狱
insanely,疯狂地
bane,祸根
handgun,手枪
universes,宇宙
rigor,严格
lucid,清醒的
tilly,蒂利
penises,阴茎
cordon,警戒线
arouse,引起
supervised,监督的
guatemala,危地马拉
beatings,殴打
gots,得了
celtic,凯尔特人
landslide,滑坡
marches,游行
lodging,住宿
y.,y。
turin,都灵
extending,延伸
dunes,沙丘
ethiopia,埃塞俄比亚
smacks,咂嘴
mayan,玛雅
exceed,超过
therese,特蕾莎
fives,五人组
patrice,帕特里斯
injunction,禁令
jest,笑话
pu,普
marino,马里诺
grazing,放牧
katia,卡蒂亚
vittorio,维托里奥
repercussions,反响
vasquez,巴斯克斯
fins,鳍
us-,我们-
intending,打算
seminary,神学院
condescending,居高临下的
termites,白蚁
gaines,盖恩斯
supergirl,超女
madagascar,马达加斯加
sidelines,场边
candies,糖果
defeating,击败
nuggets,掘金
coyotes,郊狼
brooding,沉思
mathematician,数学家
limestone,石灰石
weir,堰
populations,人口
two-way,双向
internally,内部
eskimo,爱斯基摩人
flashback,倒叙
reconnect,重新连接
sanctioned,制裁的
britta,布丽塔
hefty,沉重的
categories,类别
avocado,牛油果
auf,奥夫
flex,柔性
lisbeth,利斯贝斯
d.n.a.,脱氧核糖核酸。
insistent,坚持的
proteins,蛋白质
environments,环境
ufos,不明飞行物
a.d.,广告。
something-,某物-
assaults,袭击
bj,北京
histories,历史
yapping,叫嚷
masquerade,化装舞会
hangman,刽子手
whimsical,异想天开的
mccann,麦肯
minimize,最小化
nigh,临近
crawley,克劳利
collaborate,合作
hide-and-seek,捉迷藏
mimic,模仿
tranquilizer,镇定剂
hwan,焕
punjabi,旁遮普语
unavoidable,不可避免的
doña,多纳
demolish,拆除
peabody,皮博迪
roe,鱼子
milkman,送牛奶的人
mazel,马泽尔
wha-,世界卫生大会-
involuntary,不自觉的
rosetta,罗塞塔
oils,油类
coarse,粗
mala,马拉
could-,可以-
smacking,拍打
epiphany,顿悟
coca-cola,可口可乐
festivals,节日
pug,哈巴狗
peking,北京
unattractive,没有吸引力
compressed,压缩的
1930s,20世纪30年代
purchases,购买
antarctic,南极洲
mathilde,玛蒂尔德
unanswered,未答复的
alot,很多
toothache,牙疼
conjure,变戏法
oscars,奥斯卡奖
projections,预测
unclean,不洁净的
feces,屎
derived,衍生的
tic,抽动症
hyper,超
expendable,消耗品
hanger,衣架
dink,丁克
wynn,永利
qc,质量控制
botox,肉毒杆菌
little-,小的-
creme,奶油
mandela,曼德拉
riled,激怒了
turnover,周转
stitching,缝合
distressing,令人苦恼的
wobbly,摇摇晃晃的
notjust,不只是
tormenting,折磨人
vindictive,报复性的
glittering,闪闪发光的
centered,居中
starry,繁星点点
chaste,贞洁的
hitter,击球手
anonymity,匿名
dia,直径
abrupt,突然的
exodus,出走
hoe,锄
diplomats,外交官
toxicology,毒理学
resented,怨恨
first-rate,第一流
calder,考尔德
oxen,牛
dossier,卷宗
warm-up,暖身
insubordination,不服从
slammer,猛击者
binary,二进制
volkswagen,大众汽车公司
boulders,巨石
bucharest,布加勒斯特
portia,波西娅
pecker,啄木鸟
i.v.,静脉注射
panty,内裤
vengeful,复仇心强的
brit,英国人
poorest,最穷的
generates,产生
semi,半
wainwright,温赖特
geiger,盖革
filly,母马
unbeatable,无与伦比的
admirers,仰慕者
rina,丽娜
nona,诺娜
subordinate,下属
topper,礼帽
endangering,危害
arches,拱门
bosch,博世
distributing,分发
bonuses,奖金
rapture,狂喜
armchair,扶手椅
splat,啪嗒啪嗒
vicente,维森特
pounce,猛扑
hoodlums,流氓
j.b.,j.b.
co-operate,合作
baltic,波罗的海
promenade,长廊
right-handed,惯用右手的
suitors,追求者
ramiro,拉米罗
mortified,羞愧的
gérard,热拉尔
talon,爪
piazza,广场
prowl,徘徊
sarajevo,萨拉热窝
halley,哈雷
counties,县
zing,津
hasta,哈斯塔
shoelaces,鞋带
1ch00ffffff,1ch00ffffff
all-powerful,全能的
armada,舰队
kits,套件
soto,索托
guacamole,鳄梨
cosette,珂赛特
fiji,斐济
extinguished,熄灭了
trisha,特丽莎
persia,波斯
spills,溢出
critters,小动物
nourishment,营养
three-day,三天
gabriella,加布里埃拉
succumb,屈服
lain,莱恩
relates,涉及
alpine,高山
trashy,垃圾的
evict,驱逐
albino,白化病
flamingo,火烈鸟
housewarming,乔迁之喜
thermos,热水瓶
lupe,卢佩
manifestation,表现
kwang,光
knackered,疲惫不堪的
craze,狂热
shapiro,夏皮罗
ruxin,如心
cross-examine,盘问
johnston,约翰斯顿
licks,舔
orchestrated,精心策划的
hayward,海沃德
lingo,行话
optional,选修的
spouting,喷出
unresolved,未解决的
undetected,未被发现的
inventive,创造性的
succeeding,成功
bitterly,苦涩地
advert,广告
juliana,朱莉安娜
concealing,隐藏
trippin,绊脚石
scenic,风景优美的
dill,莳萝
def,定义
hewitt,休伊特
vagabond,流浪汉
regency,摄政
conroy,康罗伊
lebanese,黎巴嫩人
olson,奥尔森
inherent,固有
reluctantly,勉强
antidepressants,抗抑郁药
ghoul,食尸鬼
intermission,中场休息
disrupting,扰乱
eveything,一切
bile,胆汁
tok,托克
moreau,莫罗
pyo,表
culprits,罪魁祸首
gita,吉塔
robs,抢夺
heartburn,胃灼热
evilly,邪恶地
sasaki,佐佐木
hold-up,耽误
floral,花的
converse,交谈
viki,维基
sickle,镰刀
onset,发作
birthright,与生俱来的权利
lynne,林恩
groping,摸索
maury,莫里
croc,鳄鱼
zhi,至
godless,无神论者
minx,敏克斯
kazakhstan,哈萨克斯坦
auditioned,试镜的
observers,观察员
admiralty,金钟
specify,指定
line-up,排队
koala,考拉
parchment,羊皮纸
spielberg,斯皮尔伯格
tuba,大号
impacts,影响
rudeness,粗鲁
squatting,蹲着
spanked,打屁股
stabs,刺伤
stepson,继子
kleenex,纸巾
daren,达人
pappu,帕普
libel,诽谤
zeal,热情
birdsong,鸟鸣
embryos,胚胎
chadwick,查德威克
prussia,普鲁士
duffel,粗呢行李箱
flagship,旗舰
towering,参天
workmen,工人
hermione,赫敏
daley,戴利
cheon,千
atwood,阿特伍德
craigslist,克雷格列表
eyeing,盯视
h-he,呵呵
exited,退出
entangled,纠缠
moshe,摩西
gash,伤口
bastille,巴士底狱
beavers,海狸
gymnasium,健身房
vigilance,警觉
astro,阿斯特罗
massively,大规模地
sic,原文如此
renal,肾的
linc,林肯
rune,符文
cassio,卡西欧
aram,阿拉姆
chowder,杂烩汤
jerked,猛地
lestrade,雷斯垂德
kanye,坎耶
bundles,捆绑
laceration,撕裂伤
hoshi,星
cited,引用
wal-mart,沃尔玛
gramophone,留声机
kellogg,凯洛格
troublemakers,麻烦制造者
skimming,略读
sander,砂光机
saddled,背负着
industrialist,实业家
gaelic,盖尔语的
freshwater,淡水
gangway,舷梯
heartbeats,心跳
conflicting,矛盾的
truckers,卡车司机
carmel,卡梅尔
composing,构成
neurosurgeon,神经外科医生
operas,歌剧
toddy,托迪
procure,采购
cellphones,手机
faa,联邦航空局
escalating,不断升级
hpd,马力
prism,棱镜
maxed,最大
b.s.,废话。
juniper,杜松子
pegs,钉子
methadone,美沙酮
jud,贾德
minna,明娜
hammerhead,锤头鲨
monstrosity,怪物
red-hot,炽热
doable,可行的
siegel,西格尔
expedite,加快
hallmark,标志
correcting,纠正
vaudeville,歌舞杂耍
daresay,敢说
cubby,小房间
indonesian,印度尼西亚
appetites,食欲
advisory,咨询
perfumes,香水
ola,奥拉
shelling,炮击
punctuality,准时
fashions,时装
gunfight,枪战
ressler,雷斯勒
deviant,异常
viii,八
